"tdr","tag","penguin","sex","col","b","hct","hb","mass1","m2","massGain","Comments"
"n","y","3","F","RP","NB",54,19.301,7.3,6.6,-0.7,""
"n","y","4","M","RP","NB",45,18.971,6.1,6.5,0.4,""
"n","y","7",NA,"RP","NB",NA,NA,6,7.1,1.1,"No blood at recapture (at least not in field book)"
"n","y","14",NA,"RP","B",47,28.102,5.5,7.6,2.1,""
"n","y","15","F","RP","B",53,37.623,6,6.8,0.8,""
"n","y","17","M","RP","NB",48,14.039,5.9,6.4,0.5,""
"n","y","18","M","RP","NB",42,18.758,6.8,7.8,1,""
"n","y","19","M","RP","NB",48,24.138,6.6,7.2,0.6,""
"n","y","20","M","RP","NB",38,16.281,6.4,7.2,0.8,""
"y","y","21","M","RP","B",49,21.425,6.4,6.4,0,""
"y","y","24","M","RP","NB",48,19.679,5.5,7.1,1.6,""
"y","y","25","M","RP","B",NA,NA,7,7.6,0.6,"No blood at recapture (at least not in field book), sex based on April blood"
"y","y","27","M","RP","NB",46,19.372,5.9,6.2,0.3,""
"y","y","29",NA,"RP","NB",NA,NA,6.1,7.1,1,"No blood at recapture (at least not in field book)"
"y","y","30",NA,"RP","NB",44,11.538,5.3,6.2,0.9,""
"y","y","32",NA,"RP","NB",53,10.594,6.8,6.7,-0.1,""
"n","y","34","F","PI","B",46,23.265,5.8,7.9,2.1,""
"y","y","35","M","PI","NB",53,25.094,5.6,7.2,1.6,""
"y","y","36","M","PI","B",42,23.784,5.2,6.7,1.5,""
"y","y","40","F","PI","L",50,23.053,6.3,7.9,1.6,""
"y","y","41","M","PI","L",44,16.291,5.9,7.2,1.3,""
"y","y","42","F","PI","NB",46,19.973,4.9,6.7,1.8,""
"y","y","43","F","PI","B",58,25.41,5.4,5.8,0.4,""
"n","y","45","F","PI","L",41,25.967,5.8,8.2,2.4,"This penguin has been excluded from the diving analysis. It looks like the tag was found on the ground, and was dropped prior (a lot) to recapture."
"y","y","47","M","PI","B",48,23.89,5.8,7.3,1.5,""
"n","y","48","F","PI","B",51,27.059,5.9,6.4,0.5,""
"y","y","49","M","PI","B",50,16.719,5.4,5.8,0.4,""
"y","y","50","M","PI","B",44,18.4315,5.4,7.6,2.2,""
"y","y","51","F","PI","NB",55,30.569,6.6,6.7,0.1,""
"y","y","55","F","PI","NB",51,25.753,5.3,7,1.7,""
"y","y","56","M","PI","L",48,16.141,5.4,6.5,1.1,""
"y","y","58","M","PI","L",56,17.618,5.6,7.1,1.5,""
"n","y","59","F","PI","NB",47,16.013,5.8,7.4,1.6,""
"n","y","62","F","PI","B",52,17.468,4.8,5.7,0.9,""
"y","y","63",NA,"PI","B",52,23.505,5.7,7.4,1.7,""
"n","n","A1","M","RP","NB",59,21.964,NA,7.1,NA,""
"n","n","A2","M","RP","NB",51,18.533,NA,7.4,NA,""
"n","n","A3","F","RP","B",50,21.87,NA,7.9,NA,""
"n","n","A4","M","RP","NB",50,19.977,NA,6.6,NA,""
"n","n","A5",NA,"RP","B",57,19.93,NA,7.1,NA,""
"n","n","A6","F","RP","NB",50,21.409,NA,7.3,NA,""
"n","n","A7","F","RP","NB",47,14.942,NA,8.8,NA,""
"n","n","A8","M","RP","NB",NA,21.547,NA,7.4,NA,""
"n","n","A9","M","RP","NB",57,33.094,NA,7,NA,""
"n","n","B1","F","RP","NB",48,18.568,NA,7.1,NA,""
"n","n","B2","M","RP","NB",55,20.623,NA,6.2,NA,""
"n","n","B3","M","RP","B",56,NA,NA,7,NA,""
"n","n","B4","F","RP","B",44,19.215,NA,7.3,NA,""
"n","n","B5","M","RP","B",51,10.231,NA,7,NA,""
"n","n","B6","F","RP","NB",44,13.256,NA,8.1,NA,""
"n","n","Q1","M","PI","B",52,23.846,NA,7.6,NA,""
"n","n","Q2","M","PI","B",52,12.78,NA,7.6,NA,""
"n","n","R1","M","PI","L",52,19.607,NA,8.2,NA,""
"n","n","R2",NA,"PI","L",51,18.914,NA,8.4,NA,""
"n","n","R3","F","PI","B",52,22.355,NA,7.4,NA,""
"n","n","R4","M","PI","L",50,19.293,NA,6.9,NA,""
"n","n","R5","M","PI","L",55,28.286,NA,6.8,NA,""
"n","n","R6","M","PI","B",47,21.299,NA,8.1,NA,""
"n","n","R7","F","PI","L",50,24.793,NA,6.8,NA,""
"n","n","R8","M","PI","L",48,19.789,NA,7.1,NA,""
"n","n","R9","F","PI","B",53,23.6995,NA,6.9,NA,""
"n","n","T1","M","PI","NB",49,25.852,NA,7.1,NA,""
"n","n","T2","M","PI","L",46,32.501,NA,7.1,NA,""
"n","n","T3","F","PI","NB",49,20.826,NA,7.2,NA,""
"n","n","T4","M","PI","B",46,21.412,NA,6.8,NA,""
"n","n","T5","M","PI","B",34,10.368,NA,7.4,NA,""
"n","n","T6","F","PI","B",48,11.292,NA,7.7,NA,""
"n","n","T7","F","PI","B",50,22.359,NA,7.8,NA,""
"n","n","T8","F","PI","L",48,17.828,NA,7.3,NA,""
"n","n","T9","M","PI","NB",52,21.885,NA,7.2,NA,""
